# flair_url_clusters.tsv - one row per keyword in a 200 cluster
cluster_url	winner_id	keyword	redundant_tail
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_wedding.svg	wedding	wedding	no
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_xmas.svg	xmas	x-mas	no
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_xmas.svg	xmas	xmas	no
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_yoga.svg	yoga	yoga	no

# cluster_index - one line per distinct image URL
cluster_url	winner_id	keyword_count	redundant_tail_count
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_americanfootball.svg	americanfootball	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_babyshower.svg	babyshower	2	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_badminton.svg	badminton	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_baseball.svg	baseball	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_basketball.svg	basketball	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_bbq.svg	bbq	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_birthday.svg	birthday	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_bowling.svg	bowling	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_breakfast.svg	breakfast	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_bus.svg	bus	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_camping.svg	camping	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_chinesenewyear.svg	chinesenewyear	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_cinema.svg	cinema	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_climbing.svg	climbing	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_coffee.svg	coffee	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_concert.svg	concert	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_cooking.svg	cooking	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_cycling.svg	cycling	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_dancing.svg	dancing	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_dentist.svg	dentist	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_dinner.svg	dinner	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_doctor.svg	doctor	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_drinks.svg	drinks	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_fieldhockey.svg	fieldhockey	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_flight.svg	flight	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_golf.svg	golf	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_graduation.svg	graduation	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_gym.svg	gym	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_haircut.svg	haircut	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_halloween.svg	halloween	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_hiking.svg	hiking	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_islamicnewyear.svg	islamicnewyear	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_karate.svg	karate	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_kayaking.svg	kayaking	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_lunch.svg	lunch	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_mardigras.svg	mardigras	2	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_massage.svg	massage	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_nowruz.svg	nowruz	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_pingpong.svg	pingpong	3	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_read.svg	read	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_restaurant.svg	restaurant	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_rowing.svg	rowing	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_running.svg	running	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_shopping.svg	shopping	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_sleep.svg	sleep	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_soccer.svg	soccer	1	0
https://ssl.gstatic.com/calendar/images/eventillustrations/2024_v2/img_swimming.svg	swimming	1	0
